1,2008-02-02 15:36:08,-122.39534,37.77678
1,2008-02-02 15:46:08,-122.3992,37.77631
1,2008-02-02 15:46:08,-122.40235,37.77594
1,2008-02-02 15:56:08,-122.40553,37.77848
1,2008-02-02 16:06:08,-122.40801,37.78043
1,2008-02-02 16:16:08,-122.40837,37.78066
1,2008-02-02 16:26:08,-122.41103,37.78463
1,2008-02-02 16:27:08,-122.41207,37.78954
1,2008-02-02 16:28:08,-122.41252,37.79232
1,2008-02-02 16:29:08,-122.41316,37.7951
1,2008-02-02 16:30:08,-122.41392,37.7989
1,2008-02-02 16:31:08,-122.41435,37.80129
2,2008-02-02 16:36:08,-122.39472,37.77672
2,2008-02-02 17:00:24,-122.3946,37.77679
2,2008-02-02 17:10:24,-122.39314,37.77846
2,2008-02-02 20:30:34,-122.39566,37.78113
2,2008-02-02 20:40:33,-122.39978,37.78438
2,2008-02-02 20:50:33,-122.40301,37.78708
2,2008-02-02 20:51:33,-122.4048,37.78666
2,2008-02-02 20:52:33,-122.40584,37.78564
2,2008-02-02 20:53:33,-122.40826,37.78385
2,2008-02-02 20:54:33,-122.41061,37.78321
